session_id,reader_id,book_id,session_date,start_time,duration_minutes,pages_read,percentage_completed,format,device_type,location_type,completed,data_source,pages_per_minute,is_duration_outlier,is_speed_outlier,time_of_day,day_of_week
S00001,R0001,B138,2026-01-07,19:37,37.7,29,9.73,Physical,Physical Book,Home,0,Synthetic_Session_Log,0.7692307692307692,0,0,Evening,Wednesday
S00002,R0001,B138,2026-01-08,19:04,53.1,44,24.5,Physical,Physical Book,Home,0,Synthetic_Session_Log,0.8286252354048964,0,0,Evening,Thursday
S00003,R0001,B138,2026-01-09,00:59,29.5,25,32.89,Physical,Physical Book,Home,0,Synthetic_Session_Log,0.847457627118644,0,0,Night,Friday
S00004,R0001,B138,2026-01-10,20:41,29.4,21,39.93,Physical,Physical Book,Home,0,Synthetic_Session_Log,0.7142857142857143,0,0,Evening,Saturday
S00005,R0001,B138,2026-01-11,16:11,42.8,37,52.35,Physical,Physical Book,Home,0,Synthetic_Session_Log,0.8644859813084113,0,0,Afternoon,Sunday
S00006,R0001,B138,2026-01-12,20:16,38.2,31,62.75,Physical,Physical Book,Home,0,Synthetic_Session_Log,0.8115183246073298,0,0,Evening,Monday
S00007,R0001,B138,2026-01-14,16:37,33.8,31,100.0,Physical,Physical Book,Outdoor,1,Synthetic_Session_Log,0.9171597633136096,0,0,Afternoon,Wednesday
S00008,R0001,B039,2026-01-16,13:31,35.6,29,12.24,Physical,Physical Book,Coffee Shop,0,Synthetic_Session_Log,0.8146067415730337,0,0,Afternoon,Friday
S00009,R0001,B039,2026-01-16,16:56,49.0,41,29.54,Physical,Physical Book,Unknown / Unspecified,0,Synthetic_Session_Log,0.8367346938775511,0,0,Afternoon,Friday
S00010,R0001,B039,2026-01-23,21:12,29.1,25,40.08,Physical,Physical Book,Commute,0,Synthetic_Session_Log,0.8591065292096219,0,0,Evening,Friday
S00011,R0001,B039,2026-01-23,09:27,12.3,10,44.3,Physical,Physical Book,Outdoor,0,Synthetic_Session_Log,0.8130081300813008,0,0,Morning,Friday
S00012,R0001,B039,2026-01-25,16:54,27.0,23,54.01,Physical,Physical Book,Home,0,Synthetic_Session_Log,0.8518518518518519,0,0,Afternoon,Sunday
S00013,R0001,B039,2026-01-27,12:58,50.4,39,70.46,Physical,Physical Book,Commute,0,Synthetic_Session_Log,0.7738095238095238,0,0,Afternoon,Tuesday
S00014,R0001,B039,2026-01-28,22:40,39.4,28,82.28,Physical,Physical Book,Commute,0,Synthetic_Session_Log,0.7106598984771574,0,0,Night,Wednesday
