reader_id,age_group,reading_experience,books_per_month,preferred_format,survey_speed_ppm,owns_ereader,typical_session_min,data_source
R0001,25-34,Advanced,2,Ebook,0.84,1,15,Survey_Collected
R0002,55+,Advanced,2,Physical,0.72,0,45,Survey_Collected
R0003,25-34,Intermediate,1,Physical,0.82,0,45,Survey_Collected
R0004,35-44,Beginner,1,Ebook,0.57,1,15,Survey_Collected
R0005,55+,Advanced,1,Ebook,0.51,1,30,Survey_Collected
R0006,25-34,Beginner,1,No Preference,0.88,0,30,Survey_Collected
R0007,25-34,Intermediate,6,Physical,0.45,0,60,Survey_Collected
R0008,25-34,Intermediate,1,Ebook,0.36,1,15,Survey_Collected
R0009,55+,Advanced,1,Physical,0.69,1,60,Survey_Collected
R0010,18-24,Intermediate,3,Physical,0.73,0,30,Survey_Collected
R0011,35-44,Intermediate,1,Ebook,0.75,1,45,Survey_Collected
R0012,35-44,Intermediate,1,Ebook,0.72,1,30,Survey_Collected
R0013,18-24,Intermediate,2,Physical,0.82,0,15,Survey_Collected
R0014,25-34,Beginner,3,No Preference,0.52,0,60,Survey_Collected
R0015,25-34,Advanced,2,Ebook,0.79,1,60,Survey_Collected
R0016,18-24,Intermediate,1,Physical,0.56,0,60,Survey_Collected
R0017,25-34,Intermediate,3,Ebook,0.31,1,30,Survey_Collected
R0018,18-24,Intermediate,1,Ebook,0.6,1,30,Survey_Collected
R0019,45-54,Beginner,2,Physical,0.77,0,45,Survey_Collected
R0020,25-34,Intermediate,1,Ebook,0.71,1,60,Survey_Collected
R0021,25-34,Beginner,2,Physical,0.37,0,30,Survey_Collected
R0022,35-44,Intermediate,1,No Preference,0.61,0,60,Survey_Collected
R0023,45-54,Intermediate,3,Ebook,0.64,1,30,Survey_Collected
R0024,25-34,Intermediate,3,Ebook,0.72,1,30,Survey_Collected
R0025,45-54,Intermediate,1,Physical,0.63,0,45,Survey_Collected
R0026,25-34,Intermediate,3,Physical,0.42,0,45,Survey_Collected
R0027,18-24,Intermediate,2,Physical,0.64,1,45,Survey_Collected
R0028,35-44,Intermediate,2,Physical,0.72,0,30,Survey_Collected
R0029,55+,Advanced,1,No Preference,0.58,1,90,Survey_Collected
R0030,45-54,Intermediate,2,Physical,0.71,0,60,Survey_Collected
R0031,35-44,Intermediate,2,Physical,0.76,1,45,Survey_Collected
R0032,35-44,Intermediate,5,Physical,0.61,1,45,Survey_Collected
R0033,35-44,Advanced,2,Ebook,0.53,1,45,Survey_Collected
R0034,25-34,Intermediate,1,Ebook,0.61,1,15,Survey_Collected
R0035,45-54,Intermediate,2,Physical,0.49,0,45,Survey_Collected
R0036,25-34,Intermediate,3,Ebook,0.63,1,30,Survey_Collected
R0037,25-34,Beginner,3,Physical,0.55,0,45,Survey_Collected
R0038,35-44,Intermediate,4,Physical,0.55,0,30,Survey_Collected
R0039,35-44,Beginner,1,Physical,0.56,0,45,Survey_Collected
R0040,25-34,Beginner,1,Physical,0.88,0,15,Survey_Collected
R0041,25-34,Intermediate,2,Ebook,0.63,1,15,Survey_Collected
R0042,35-44,Advanced,5,Ebook,0.51,1,90,Survey_Collected
R0043,45-54,Beginner,1,Physical,0.53,0,60,Survey_Collected
R0044,18-24,Advanced,5,Physical,0.63,0,30,Survey_Collected
R0045,35-44,Advanced,6,No Preference,0.72,0,60,Survey_Collected
R0046,25-34,Advanced,2,Physical,0.72,1,15,Survey_Collected
R0047,25-34,Advanced,4,No Preference,0.77,1,60,Survey_Collected
R0048,18-24,Intermediate,3,Physical,0.72,0,30,Survey_Collected
R0049,35-44,Intermediate,1,Physical,0.54,1,45,Survey_Collected
R0050,18-24,Beginner,1,No Preference,0.63,1,60,Survey_Collected
R0051,55+,Advanced,3,Physical,0.55,0,15,Survey_Collected
R0052,18-24,Beginner,3,Ebook,0.6,1,30,Survey_Collected
R0053,45-54,Beginner,1,No Preference,0.61,1,15,Survey_Collected
R0054,35-44,Advanced,6,Ebook,0.75,1,30,Survey_Collected
R0055,55+,Advanced,3,Ebook,0.75,1,15,Survey_Collected
R0056,55+,Advanced,4,Ebook,0.33,1,60,Survey_Collected
R0057,45-54,Advanced,4,Ebook,0.59,1,60,Survey_Collected
R0058,55+,Beginner,2,Ebook,0.56,1,60,Survey_Collected
R0059,25-34,Intermediate,1,Physical,0.64,1,90,Survey_Collected
R0060,35-44,Advanced,3,No Preference,0.65,1,45,Survey_Collected
R0061,25-34,Intermediate,1,Ebook,0.64,1,60,Survey_Collected
R0062,25-34,Advanced,3,Ebook,0.91,1,15,Survey_Collected
