session_id,reader_id,book_id,session_date,start_time,duration_minutes,pages_read,percentage_completed,format,device_type,location_type,completed,data_source
S00001,R0001,B138,2026-01-07,19:37,37.7,29,9.73,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00002,R0001,B138,2026-01-08,19:04,53.1,44,24.5,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00003,R0001,B138,2026-01-09,00:59,29.5,25,32.89,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00004,R0001,B138,2026-01-10,20:41,29.4,21,39.93,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00005,R0001,B138,2026-01-11,16:11,42.8,37,52.35,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00006,R0001,B138,2026-01-12,20:16,38.2,31,62.75,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00007,R0001,B138,2026-01-14,16:37,33.8,31,100.0,Physical,Physical Book,Outdoor,1,Synthetic_Session_Log
S00008,R0001,B039,2026-01-16,13:31,35.6,29,12.24,Physical,Physical Book,Coffee Shop,0,Synthetic_Session_Log
S00009,R0001,B039,2026-01-16,16:56,49.0,41,29.54,Physical,Physical Book,,0,Synthetic_Session_Log
S00010,R0001,B039,2026-01-23,21:12,29.1,25,40.08,Physical,Physical Book,Commute,0,Synthetic_Session_Log
S00011,R0001,B039,2026-01-23,09:27,12.3,10,44.3,Physical,Physical Book,Outdoor,0,Synthetic_Session_Log
S00012,R0001,B039,2026-01-25,16:54,27.0,23,54.01,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00013,R0001,B039,2026-01-27,12:58,50.4,39,70.46,Physical,Physical Book,Commute,0,Synthetic_Session_Log
S00014,R0001,B039,2026-01-28,22:40,39.4,28,82.28,Physical,Physical Book,Commute,0,Synthetic_Session_Log
S00015,R0001,B039,2026-01-29,19:44,41.0,36,100.0,Physical,Physical Book,Commute,1,Synthetic_Session_Log
S00016,R0001,B028,2026-01-29,16:12,37.7,29,5.03,Physical,Physical Book,Outdoor,0,Synthetic_Session_Log
S00017,R0001,B028,2026-01-29,10:07,45.4,42,12.33,Physical,Physical Book,Commute,0,Synthetic_Session_Log
S00018,R0001,B028,2026-01-31,15:29,49.7,40,19.27,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00019,R0001,B028,2026-01-31,08:54,25.8,23,23.26,Physical,Physical Book,Commute,0,Synthetic_Session_Log
S00020,R0001,B028,2026-02-01,19:52,17.2,17,26.22,Physical,Physical Book,Library,0,Synthetic_Session_Log
S00021,R0001,B028,2026-02-01,02:33,31.5,24,30.38,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00022,R0001,B028,2026-02-03,21:07,29.9,24,34.55,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00023,R0001,B049,2026-02-03,19:31,43.3,41,9.67,Ebook,Kindle,Library,0,Synthetic_Session_Log
S00024,R0001,B049,2026-02-08,12:37,47.3,45,20.28,Ebook,Kindle,Home,0,Synthetic_Session_Log
S00025,R0001,B049,2026-02-09,03:50,44.1,47,31.37,Ebook,Kindle,Commute,0,Synthetic_Session_Log
S00026,R0001,B049,2026-02-09,10:37,23.1,23,36.79,Ebook,Kindle,Home,0,Synthetic_Session_Log
S00027,R0001,B049,2026-02-16,01:31,11.4,11,39.39,Ebook,Kindle,Home,0,Synthetic_Session_Log
S00028,R0001,B049,2026-02-18,09:45,30.9,27,45.75,Ebook,Kindle,Home,0,Synthetic_Session_Log
S00029,R0001,B049,2026-02-19,20:11,27.3,23,51.18,Ebook,Kindle,Outdoor,0,Synthetic_Session_Log
S00030,R0001,B049,2026-02-19,06:15,21.8,22,56.37,Ebook,Kindle,Home,0,Synthetic_Session_Log
S00031,R0001,B125,2026-02-19,14:41,34.6,35,19.13,Ebook,Phone,Home,0,Synthetic_Session_Log
S00032,R0001,B125,2026-02-19,10:02,22.5,24,32.24,Ebook,Phone,Home,0,Synthetic_Session_Log
S00033,R0001,B125,2026-02-22,20:22,21.6,18,42.08,Ebook,Phone,Home,0,Synthetic_Session_Log
S00034,R0001,B125,2026-02-23,18:02,23.6,19,100.0,Ebook,Phone,Library,1,Synthetic_Session_Log
S00035,R0001,B013,2026-02-23,18:57,45.8,33,7.17,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00036,R0001,B013,2026-02-23,07:04,33.9,28,100.0,Physical,Physical Book,,1,Synthetic_Session_Log
S00037,R0002,B091,2026-01-27,06:37,53.2,41,5.82,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00038,R0002,B091,2026-01-29,15:11,40.9,31,10.21,Physical,Physical Book,Library,0,Synthetic_Session_Log
S00039,R0002,B091,2026-01-30,09:27,37.3,28,14.18,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00040,R0002,B091,2026-01-30,05:11,23.0,17,16.6,Physical,Physical Book,Coffee Shop,0,Synthetic_Session_Log
S00041,R0002,B091,2026-01-31,07:41,48.8,33,21.28,Physical,Physical Book,Library,0,Synthetic_Session_Log
S00042,R0002,B091,2026-02-01,11:07,26.2,19,23.97,Physical,Physical Book,Library,0,Synthetic_Session_Log
S00043,R0002,B091,2026-02-02,21:34,32.4,20,26.81,Physical,Physical Book,Library,0,Synthetic_Session_Log
S00044,R0002,B091,2026-02-05,12:48,29.3,20,100.0,Physical,Physical Book,Home,1,Synthetic_Session_Log
S00045,R0002,B018,2026-02-07,15:25,36.2,27,4.13,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00046,R0002,B018,2026-02-09,17:03,55.2,42,10.55,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00047,R0002,B018,2026-02-10,07:18,48.3,40,16.67,Physical,Physical Book,Home,0,Synthetic_Session_Log
S00048,R0002,B018,2026-02-12,21:43,42.3,35,22.02,Physical,Physical Book,,0,Synthetic_Session_Log
